LivingArea,NumBedrooms,Pool,ClosePrice,DwellingType,num_baths
2162.0,4,Private,265000.0,Single Family - Detached,2.0
1975.0,3,Private,376500.0,Single Family - Detached,3.0
2075.0,3,None,159000.0,Single Family - Detached,2.5
1587.0,4,None,161900.0,Single Family - Detached,2.0
1839.0,3,Private,210500.0,Single Family - Detached,2.0
1861.0,4,Private,179900.0,Single Family - Detached,2.0
2000.0,3,None,210000.0,Single Family - Detached,2.0
1660.0,3,Private,122500.0,Single Family - Detached,2.0
1214.0,2,None,100000.0,Apartment Style/Flat,2.0
2264.0,3,None,165000.0,Single Family - Detached,3.0
2941.0,4,None,410000.0,Single Family - Detached,3.0
1782.0,3,None,238500.0,Single Family - Detached,2.5
1656.0,3,Community,294000.0,Single Family - Detached,2.5
861.0,2,Community,91888.0,Apartment Style/Flat,2.0
3600.0,4,None,499900.0,Single Family - Detached,3.5
1519.0,3,None,163000.0,Single Family - Detached,2.0
2376.0,2,Community,798000.0,Apartment Style/Flat,2.5
1600.0,3,Private,335000.0,Single Family - Detached,2.0
1218.0,3,None,124900.0,Single Family - Detached,2.0
1512.0,4,None,292000.0,Single Family - Detached,2.0
3024.0,4,None,390000.0,Single Family - Detached,3.0
998.0,2,None,121000.0,Single Family - Detached,2.0
1290.0,2,None,120000.0,Single Family - Detached,2.0
1844.0,4,Private,230000.0,Single Family - Detached,2.0
1515.0,3,Community,199900.0,Single Family - Detached,2.0
2379.0,5,None,188900.0,Single Family - Detached,2.5
1519.0,3,None,155000.0,Single Family - Detached,2.0
1377.0,3,None,220000.0,Single Family - Detached,2.0
1545.0,2,Community,168000.0,Single Family - Detached,2.0
1410.0,3,None,196000.0,Single Family - Detached,2.0
2299.0,3,Community,284000.0,Single Family - Detached,2.0
2521.0,4,Community,170000.0,Single Family - Detached,3.0
1172.0,3,Community,35000.0,Apartment Style/Flat,2.0
1591.0,3,None,148000.0,Single Family - Detached,2.0
2012.0,4,None,132500.0,Single Family - Detached,2.5
1772.0,3,Private,265000.0,Single Family - Detached,2.0
1192.0,2,Community,142000.0,Apartment Style/Flat,2.0
1308.0,2,Community,155000.0,Single Family - Detached,2.0
1454.0,3,Private,245000.0,Single Family - Detached,2.0
1638.0,3,None,142000.0,Single Family - Detached,2.5
3920.0,4,Private,330000.0,Single Family - Detached,3.5
1092.0,3,None,130000.0,Single Family - Detached,2.0
519.0,1,Community,61500.0,Apartment Style/Flat,1.0
1499.0,3,Community,165000.0,Single Family - Detached,2.0
2595.0,4,Private,495000.0,Single Family - Detached,2.0
2168.0,4,Community,230000.0,Single Family - Detached,2.5
1527.0,4,None,128500.0,Single Family - Detached,2.0
976.0,2,Community,52000.0,Townhouse,2.0
1614.0,3,None,326000.0,Single Family - Detached,2.0
7623.0,7,Private,1825000.0,Single Family - Detached,7.5
1444.0,3,Both Private & Community,259000.0,Single Family - Detached,2.5
1486.0,3,Private,212500.0,Single Family - Detached,2.0
1879.0,4,Private,309000.0,Single Family - Detached,2.0
1808.0,5,None,164524.0,Single Family - Detached,2.0
1078.0,2,Community,182000.0,Townhouse,2.0
